Entry,Ligand_SMILES,Substrate_SMILES,Yield
1,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20.0
2,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 18 16 22 16 20 18 16 21 22 16 16 22 16 17 16 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9.0
3,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 16 22 16 20 18 19 16 18 16 21 22 16 16 22 16 17 16 22 16 21 18 19 16 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7.0
4,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 17 27 18 16 22 16 20 18 16 21 22 16 16 22 16 17 27 18 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18.0
5,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 16 16 17 16 20 22 16 16 22 16 16 22 16 20 18 22 19 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,34.0
6,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 22 16 16 22 16 16 22 16 20 18 16 17 27 18 17 27 18 27 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,89.0
7,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 22 16 16 22 16 16 22 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.0
8,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 16 21 22 16 16 22 16 16 22 16 21 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.0
9,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 20 16 16 16 21 22 16 16 22 16 16 22 16 21 16 20 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,85.0
10,12 45 17 16 20 22 16 16 22 16 16 22 16 20 18 17 16 21 22 16 16 22 16 16 22 16 21 18 16 45 17 16 26 22 16 16 22 16 16 22 16 26 18 16 32 22 16 16 22 16 16 22 16 32 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12 19 22 16 17 16 20 16 16 16 16 16 20 18 16 21 16 16 16 16 16 21 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.0
